Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Anzahl Equipments	Anzahl eigene Equipments	Anzahl fremde Equipments	Anzahl in Werkstatt	Anzahl verkauft	EK netto	Anmietpreis	Höhe [mm]	Breite [mm]	Länge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR602	 - 	Drum	Paiste Signature Medium HiHats 14"	Paiste Signature Medium HiHats 14"	 - 	28	 - 	Paiste Signature Medium HiHats 14"	Paiste Signature Medium HiHats 14"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	16	 - 	 - 	 - 	 - 	0.000	0
AR603	 - 	Drum	Paiste Signature Heavy China 18"	Paiste Signature Heavy China 18"	 - 	24	 - 	Paiste Signature Heavy China 18"	Paiste Signature Heavy China 18"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	12	 - 	 - 	 - 	 - 	0.000	0
AR604	 - 	Drum	Paiste Signature Reflector Splash 10"	Paiste Signature Reflector Splash 10"	 - 	12	 - 	Paiste Signature Reflector Splash 10"	Paiste Signature Reflector Splash 10"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	6.8	 - 	 - 	 - 	 - 	0.000	0
AR630	 - 	Drum	Drum Set Yamaha	1 x Yamaha Recording Custom 20"x16" Bassdrum  1 x Yamaha Recording Custom 12"x8" Racktom 1 1 x Yamaha Recording Custom 14"x14" Floortom  1 x Yamaha Recording Custom RLS1455 14"x5,5" Snare (Steel)	 - 	250	 - 	Drum Set Yamaha	1 x Yamaha Recording Custom 20"x16" Bassdrum  1 x Yamaha Recording Custom 12"x8" Racktom 1 1 x Yamaha Recording Custom 14"x14" Floortom  1 x Yamaha Recording Custom RLS1455 14"x5,5" Snare (Steel)	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	90	 - 	 - 	30.000	0
AR631	 - 	Drum	Remo Set	Bd with Remo P3, Front with hole, Muffling inside Toms with Remo Ambassador Coated Snare with Remo Ambassador Coated	 - 	 - 	 - 	Remo Set	Bd with Remo P3, Front with hole, Muffling inside Toms with Remo Ambassador Coated Snare with Remo Ambassador Coated	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	2.000	0
AR632	 - 	Drum	Tama Hard Ware Set	4 x Tama Boom Cymbal Stand HC83BW  1 x Tama Snare Stand Roadpro hs800wn  1 x Tama Drum Throne 3 Legs Round Saddle  1 x Tama HiHat Stand Iron Cobra 2Legs  1 x Tama Single Kick Pedal Iron Cobra	 - 	70	 - 	Tama Hard Ware Set	4 x Tama Boom Cymbal Stand HC83BW  1 x Tama Snare Stand Roadpro hs800wn  1 x Tama Drum Throne 3 Legs Round Saddle  1 x Tama HiHat Stand Iron Cobra 2Legs  1 x Tama Single Kick Pedal Iron Cobra	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	35.2	 - 	 - 	 - 	 - 	0.000	0
AR633	 - 	Drum	Yamaha  Extras Drum	Yamaha Tom Arm Kurz CL945B  Yamaha Tripod Tom Arm Holder Long  Yamaha Floortom Leg Long (3x)  Drum Key  Drum Carpet 2x2m	 - 	6	 - 	Yamaha  Extras Drum	Yamaha Tom Arm Kurz CL945B  Yamaha Tripod Tom Arm Holder Long  Yamaha Floortom Leg Long (3x)  Drum Key  Drum Carpet 2x2m	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR634	 - 	Drum	Istanbul Cymbals	1 x Istanbul Agop Traditional Medium Ride 22"  1 x Istanbul Agop Traditional Medium Ride 20" 1 1 x Istanbul Agop Traditional Medium Crash 18"  1 x Istanbul Agop Traditional Regular HiHats 14"	 - 	150	 - 	Istanbul Cymbals	1 x Istanbul Agop Traditional Medium Ride 22"  1 x Istanbul Agop Traditional Medium Ride 20" 1 1 x Istanbul Agop Traditional Medium Crash 18"  1 x Istanbul Agop Traditional Regular HiHats 14"	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	75	 - 	 - 	 - 	 - 	10.000	0
AR637	 - 	Drum	Drum Throne / Hocker rundfuß	Drum Throne / Hocker rundfuß	6.5	7	8	Drum Throne / Hocker rundfuß	Drum Throne / Hocker rundfuß	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	5	 - 	 - 	 - 	 - 	0.000	0
AR638	 - 	Drum	MEINL CHIMES Single 33 BARS 	MEINL CHIMES Single 33 BARS  Meinl Tmch Boom Chimes Stand 	5	7	10	MEINL CHIMES Single 33 BARS 	MEINL CHIMES Single 33 BARS 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR6	 - 	Endstufen	L-Acoustics LA8	    4 channel high efficiency amplifier section fed by 2 inputs     4 x 1800 W / 4 Ohms	65	85	90.00	L-Acoustics LA8	    4 channel high efficiency amplifier section fed by 2 inputs     4 x 1800 W / 4 Ohms	L-Acoustics	 - 	 - 	 - 	 - 	23	23	0	0	0	 - 	 - 	88	483	420	12.200	0
AR32	 - 	Endstufen	L-ACOUSTICS LA-RAK, Touring Rack	1. La8x3 2. Spliter 2 In, 2 OUT,   3. Netzwerk Verteiler 4. Strom Verteiler	250	270	300	L-ACOUSTICS LA-RAK, Touring Rack	1. La8x3 2. Spliter 2 In, 2 OUT,   3. Netzwerk Verteiler 4. Strom Verteiler	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	683	609	580	62.000	0
AR273	 - 	Endstufen	d&b audio D12 Digitalendstufe (EP5)	d&b audio D12 Digitalendstufe (EP5) Endstufenrack 1x d&b D12 Endstufenrack 2x d&b D12	 - 	55	 - 	d&b audio D12 Digitalendstufe (EP5)	d&b audio D12 Digitalendstufe (EP5) Endstufenrack 1x d&b D12 Endstufenrack 2x d&b D12	NULL	 - 	 - 	 - 	 - 	12	12	0	0	0	25	 - 	 - 	 - 	 - 	0.000	0
AR330	 - 	Endstufen	d&b audio D20 Digitalendstufe (NL4)	d&b audio D20 Digitalendstufe (NL4)     Maximale Ausgangsleistung     4 x 1600 W an 4 &#937;     Alle aktuellen d&b Lautsprecher Setups außer J-Serie, M2, SL-Serie     Display Colour TFT touchscreen, 3.5"/320 x 240 pixel	 - 	80	 - 	d&b audio D20 Digitalendstufe (NL4)	d&b audio D20 Digitalendstufe (NL4)	NULL	 - 	 - 	 - 	 - 	3	0	3	0	0	 - 	 - 	2	19	460	10.800	0
AR333	 - 	Endstufen	d&b audio D80 Digitalendstufe (NL4)	d&b audio D80 Digitalendstufe (NL4)     Maximale Ausgangsleistung 4 x 4000 W an 4 &#937;     Alle aktuellen d&b Lautsprecher Setups     Display Colour TFT touchscreen, 3.5"/320 x 240 pixel 	 - 	100	 - 	d&b audio D80 Digitalendstufe (NL4)	d&b audio D80 Digitalendstufe (NL4) 	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	2	19	530	19.000	0
AR648	 - 	Endstufen	PDW500MP3 500W/100V 6Z/cntr BT	PDW500MP3 500W/100V 6Z/cntr BT	 - 	 - 	 - 	PDW500MP3 500W/100V 6Z/cntr BT	PDW500MP3 500W/100V 6Z/cntr BT	NULL	 - 	510	 - 	 - 	1	0	1	0	0	313.16	 - 	 - 	 - 	 - 	0.000	0
AR398	 - 	Fahrzeuge (Anhänger usw.)	VW Cady oder. ähn. kleiner Transporter	VW Cady oder. ähn. kleiner Transporter Haftungsred. auf 500,00 inkl. 4000 km	 - 	760,00	 - 	VW Cady oder. ähn. kleiner Transporter	VW Cady oder. ähn. kleiner Transporter Haftungsred. auf 500,00 inkl. 4000 km	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR419	 - 	Funktechnik	Sennheiser AC 3 Combiner	Sennheiser AC 3 Combiner	40	45	55	Sennheiser AC 3 Combiner	Sennheiser AC 3 Combiner	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR420	 - 	Funktechnik	Sennheiser ASA 1 Antennensplitter	Sennheiser ASA 1 Antennensplitter	40	45	50	Sennheiser ASA 1 Antennensplitter	Sennheiser ASA 1 Antennensplitter	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR421	 - 	Funktechnik	Sennheiser A1031	Sennheiser A1031     BNC     Frequenzbereich 450 - 960 MHz 	7	10	15	Sennheiser A1031	Sennheiser A1031	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR47	 - 	Guitar	 Marshal JCM 900 Guitar Amp	 Marshal JCM 900 Guitar Amp Typ: Kopf Leistung (RMS): 100 Watt Kanäle: 2 Pre-Amp-Ventile: 3 X ECC83 Power Amp Ventile: 4 x 5881 Abmessungen (mm): 750 x 350 x 210 Gewicht (kg): 18,8 Kg	35	40	60	 Marshal JCM 900 Guitar Amp	 Marshal JCM 900 Guitar Amp Typ: Kopf Leistung (RMS): 100 Watt Kanäle: 2 Pre-Amp-Ventile: 3 X ECC83 Power Amp Ventile: 4 x 5881 Abmessungen (mm): 750 x 350 x 210 Gewicht (kg): 18,8 Kg	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	350	750	210	18.800	0
AR48	 - 	Guitar	Marshal 1960 Guitar acoustic system ,cabinet					Marshal 1960 Guitar acoustic system ,cabinet		     Hersteller: Marshall     Belastbarkeit (Watt): 300     Impedanz (Ohm): 4, 16     Lautsprecherhersteller: Celestion     Anzahl Lautsprecher: 4     Frontausführung: gerade     Stereo: Ja 760 x 830 x 360mm      Gewicht (Kg): 37	 - 	 - 	 - 	Marshal 1960 Guitar acoustic system ,cabinet			Marshal 1960 Guitar acoustic system ,cabinet			NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	830	760	360	37.000	0
AR49	 - 	Guitar	SWR 4004, Bass guitar amplifier , 400W	SWR 4004, Bass guitar amplifier , 400W	 - 	 - 	 - 	SWR 4004, Bass guitar amplifier , 400W	SWR 4004, Bass guitar amplifier , 400W	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	400	600	250	15.000	0
AR50	 - 	Guitar	SWR 4004 Bass guitar acoustic system ,cabinet 4	SWR 4004 Bass guitar acoustic system ,cabinet 4&#1093;10	 - 	 - 	 - 	SWR 4004 HEAD	SWR 4004 Bass guitar acoustic system ,cabinet 4&#1093;10	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	650	450	250	25.000	0
AR367	 - 	Guitar	Brunetti Maranello Guitar Kombo	Brunetti Maranello Guitar Kombo	 - 	40.00	 - 	Brunetti Maranello Guitar Kombo	Brunetti Maranello Guitar Kombo	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	480	480	250	15.000	0
AR428	 - 	Guitar	Fender Hot Rod Deluxe V30 inkl. Footswitch	Fender Hot Rod Deluxe V30 inkl. Footswitch	 - 	 - 	 - 	Fender Hot Rod Deluxe V30 inkl. Footswitch	Fender Hot Rod Deluxe V30 inkl. Footswitch	NULL	45	55	65	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR605	 - 	Guitar	Fender Jazz Bass USA, 4 Strings, Metallic Blue	Fender Jazz Bass USA, 4 Strings, Metallic Blue	 - 	55	 - 	Fender Jazz Bass USA, 4 Strings, Metallic Blue	Fender Jazz Bass USA, 4 Strings, Metallic Blue	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	32	 - 	 - 	 - 	 - 	0.000	0
AR606	 - 	Guitar	Fender Jazz Bass Mexico Deluxe Series, 5 Strings	Fender Jazz Bass Mexico Deluxe Series, 5 Strings, Vintage White	 - 	55	 - 	Fender Jazz Bass Mexico Deluxe Series, 5 Strings	Fender Jazz Bass Mexico Deluxe Series, 5 Strings, Vintage White	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	32	 - 	 - 	 - 	 - 	0.000	0
AR607	 - 	Guitar	Ampeg SVT 3Pro	Ampeg SVT 3Pro, Tube Amp, 4/8 Ohm, 450/275 Watt, DI Out	 - 	60	 - 	Ampeg SVT 3Pro	Ampeg SVT 3Pro, Tube Amp, 4/8 Ohm, 450/275 Watt, DI Out	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	28	 - 	 - 	 - 	 - 	0.000	0
AR608	 - 	Guitar	Ampeg SVT-410HE - 500W	Ampeg SVT-410HE - 500W, 4x10" Speaker, 8 Ohm, 500 Watt, Horn	 - 	32	 - 	Ampeg SVT-410HE - 500W	Ampeg SVT-410HE - 500W, 4x10" Speaker, 8 Ohm, 500 Watt, Horn	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	16	 - 	 - 	 - 	 - 	0.000	0
AR609	 - 	Guitar	Takamine EAN16C, electro acoustic guitar	Takamine EAN16C, electro acoustic guitar, with 6 Steel Strings & Pickup incl Strap & Capodaster	 - 	60	 - 	Takamine EAN16C, electro acoustic guitar	Takamine EAN16C, electro acoustic guitar, with 6 Steel Strings & Pickup incl Strap & Capodaster	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	32	 - 	 - 	 - 	 - 	0.000	0
AR610	 - 	Guitar	Fender Stratocaster USA lake placid blue	Fender Stratocaster USA lake placid blue, incl Strap & Tremolo	 - 	55	 - 	Fender Stratocaster USA lake placid blue	Fender Stratocaster USA lake placid blue, incl Strap & Tremolo	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	32	 - 	 - 	 - 	 - 	0.000	0
AR611	 - 	Guitar	Fender Hot Rod DeVille 410	Fender Hot Rod DeVille 410, Tube Combo, 4x10 Speaker, 60 Watt	 - 	65	 - 	Fender Hot Rod DeVille 410	Fender Hot Rod DeVille 410, Tube Combo, 4x10 Speaker, 60 Watt	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	48	 - 	 - 	 - 	 - 	0.000	0
AR619	 - 	Guitar	Boss TU-3 Chromatic Tuner 	Boss TU-3 Chromatic Tuner 	 - 	5	 - 	Boss TU-3 Chromatic Tuner 	Boss TU-3 Chromatic Tuner 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	2.8	 - 	 - 	 - 	 - 	0.000	0
AR622	 - 	Guitar	Ibanez Prestige Perl.Dunkel Braun	Ibanez Prestige Perl.Dunkel Braun	 - 	55	 - 	Ibanez Prestige Perl.Dunkel Braun	Ibanez Prestige Perl.Dunkel Braun	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR624	 - 	Guitar	Guitar Combo Brunetti or VOX AC 30	Guitar Combo Brunetti or VOX AC 30	 - 	50	 - 	Guitar Combo Brunetti or VOX AC 30	Guitar Combo Brunetti or VOX AC 30	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR625	 - 	Guitar	Bass Combo  Hartke/ Mark Bass 	Bass Combo  Hartke/ Mark Bass 	 - 	50	 - 	Bass Combo  Hartke/ Mark Bass 	Bass Combo  Hartke/ Mark Bass 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR629	 - 	Guitar	Fender Blues Deluxe Reissue 	Fender Blues Deluxe Reissue	 - 	60	 - 	Fender Blues Deluxe Reissue inkl. Case	Fender Blues Deluxe Reissue	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	32	 - 	476	267	597	32.000	0
AR636	 - 	Guitar	Markbass  CMD 102P	    Leistung: 300 Watt RMS @ 8 Ohm / 500 Watt RMS @ 4 Ohm     Speaker: 2x 10" Neodym Custom by B&C + Piezo Tweeter     4-Band EQ     Bi-Band Limiter     variabler Pre Shape-Filter     Vintage Speaker Emulation     praktisches Kickback-Design	 - 	60	 - 	Markbass  CMD 102P	    Leistung: 300 Watt RMS @ 8 Ohm / 500 Watt RMS @ 4 Ohm     Speaker: 2x 10" Neodym Custom by B&C + Piezo Tweeter     4-Band EQ     Bi-Band Limiter     variabler Pre Shape-Filter     Vintage Speaker Emulation     praktisches Kickback-Design	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	475	585	470	17.500	0
AR656	 - 	Guitar	Messa Boogie Dual Rectifiert	Messa Boogie Dual Rectifiert	 - 	70	 - 	Messa Boogie Dual Rectifiert	Messa Boogie Dual Rectifiert	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	50	 - 	 - 	 - 	 - 	0.000	0
AR657	 - 	Guitar	Messa Boogie 4FB Slant	Messa Boogie 4FB Slant	 - 	40	 - 	Messa Boogie 4FB Slant	Messa Boogie 4FB Slant	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR174	Shure	In Ear Monitoring Drahtlos	Shure SE535 EARPHONE,RED,W/-UNI+RMCE-BT1	 - 	 - 	394.12	 - 	Shure SE535 EARPHONE,RED,W/-UNI+RMCE-BT1	 - 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR269	 - 	In Ear Monitoring Drahtlos	Sennheiser ew 300 IEM G3	Sender und Empfänger in robustem Metallgehäuse  B-Band   626-668MhZ	30	45	 - 	Sennheiser ew 300 G3	    Sender und Empfänger in robustem Metallgehäuse    1680 UHF-Frequenzen wählbar innerhalb 42MHz Bandbreite    20 Festfrequenzbänke mit bis zu 16 kompatiblen Presetfrequenzen  6 Bänke mit beschreibbaren Frequenzen    Ethernet-Schnittstelle zum Anschluss an Computersteuerung  ZollWireless Systems Manager Zoll WSM für übersichtliches Monitoring und professionelles Datenmanagement von Multikanalsystemen    Adaptive-Diversity Technik für hohe Empfangsqualität    Pilotton-Squelch für störungsfreien Betrieb    Scan-Funktion zum Finden freier Empfangskanäle    Drahtlose Synchronisation der Empfängerparameter vom Sender    Bedienungsfreundliche Menüsteuerung über hinterleuchtetes Graphik-Display    Kristallklarer Sound durch HDX-Compander    Sender mit umschaltbarer HF-Ausgangsleistung    Erweiterter NF-Frequenzgang    Erhöhter Bereich zur Einstellung der Audio Empfindlichkeit    Hinterleuchtetes Graphik-Display    4-stufige Batteriestatus Anzeige    Ladekontakte zum Aufladen von BA2015 Akku 	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR371	 - 	In Ear Monitoring Drahtlos	Sennheiser SR 2050 Doppelsender, B-Band, 626-698 	Sennheiser SR 2050 Doppelsender, B-Band, 626-698 MHz	 - 	89	 - 	Sennheiser SR 2050 Doppelsender, B-Band, 626-698 	Sennheiser SR 2050 Doppelsender, B-Band, 626-698 MHz	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	56.00	 - 	 - 	 - 	 - 	0.000	0
AR182	 - 	Kabel - Adapter	AdapterKabel 3,5 Kl auf 2x 6,3Kl	AdapterKabel 3,5 Kl auf 2x 6,3Kl	 - 	0.50	 - 	AdapterKabel 3,5 Kl auf 2x 6,3Kl	AdapterKabel 3,5 Kl auf 2x 6,3Kl	NULL	 - 	7.9	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR183	 - 	Kabel - Adapter	Adapterkabel 2x Ch. auf 2x XLR	Adapterkabel 2x Ch. auf 2x XLR	 - 	0.50	 - 	Adapterkabel 2x Ch. auf 2x XLR	Adapterkabel 2x Ch. auf 2x XLR	NULL	 - 	8.9	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR191	 - 	Kabel - Adapter	2xCinch  auf 2 x Klinke Male	 - 	 - 	0.50	 - 	Cinch Female auf Klinke Male	 - 	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR193	 - 	Kabel - Adapter	AdapterKabel 3,5 Kl auf 2x XLR	AdapterKabel 3,5 Kl auf 2x XLR	 - 	0.50	 - 	AdapterKabel 3,5 Kl auf 2x XLR	AdapterKabel 3,5 Kl auf 2x XLR	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR672	 - 	Kabel - Adapter	Adapterkabel 6,3 Kl. auf XLR	Adapterkabel 6,3 Kl. auf XLR	 - 	0.5	 - 	Adapterkabel 6,3 Kl. auf XLR	Adapterkabel 6,3 Kl. auf XLR	NULL	 - 	 - 	 - 	 - 	21	20	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR440	 - 	Kabel - Antenne	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel 	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel	 - 	0.50	 - 	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel 	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR441	 - 	Kabel - Antenne	Sennheiser GZL RG 58 - 0.5m	Sennheiser GZL RG 58 - 0.5m	 - 	0.50	 - 	Sennheiser GZL RG 58 - 0.5m	Sennheiser GZL RG 58 - 0.5m	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR195	 - 	Kabel - Bühnenmulticore	8-fach-Multicore  15m	8-fach-Multicore  15m	 - 	15	 - 	8-fach-Multicore  15m	8-fach-Multicore  15m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	1500	0.000	0
AR198	 - 	Kabel - Bühnenmulticore	Multicore 32-8 50m	MC328D, Multicore, 32 Send  8 Return Leitungen, Länge 50m	30	40	50	Multicore 32-8 50m	MC328D, Multicore, 32 Send  8 Return Leitungen, Länge 50mTHE SSSNAKE MC328D, Multicore, 32 Send  8 Return Leitungen, Länge 40m	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	600	500	50000	55.000	0
AR438	 - 	Kabel - Bühnenmulticore	6ch XLR m-XLRw Subcore 3m	6ch XLR m-XLRw Subcore 3m	 - 	 - 	 - 	6ch XLR m-XLRw Subcore 3m	6ch XLR m-XLRw Subcore 3m	NULL	 - 	7,50	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR64	 - 	Kabel - DMX	25m DMX Kabel 3Pol 	25m DMX Kabel 3Pol 	2.0	2.0	2.50	25m DMX Kabel 3Pol 	25m DMX Kabel 3Pol 	NULL	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	 - 	 - 	25000	0.000	0
AR69	 - 	Kabel - DMX	DMX 5P TR 50 Kabel auf Tromel	DMX 5P TR 50 Kabel auf Tromel	15	15	15	DMX 5P TR 50 Kabel auf Tromel	DMX 5P TR 50 Kabel auf Tromel	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR110	 - 	Kabel - DMX	Verkabelung DMX n.B.	Verkabelung DMX n.B.	 - 	 - 	 - 	Verkabelung DMX n.B.	Verkabelung DMX n.B.	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR127	 - 	Kabel - DMX	DMX Kabel  3P 10m	DMX Kabel  3P 10m	 - 	0.50	 - 	DMX Kabel  3P 10m	DMX Kabel  3P 10m	NULL	 - 	15	 - 	 - 	60	50	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR128	 - 	Kabel - DMX	DMX Kabel 5P 5m	DMX Kabel 5P 5m	 - 	0.50	 - 	DMX Kabel 5P 5m	DMX Kabel 5P 5m	NULL	 - 	11	 - 	 - 	60	50	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR129	 - 	Kabel - DMX	DMX Kabel 3P 3m	DMX Kabel 3P 3m	 - 	0.5	 - 	DMX Kabel 3P 3m	DMX Kabel 3P 3m	NULL	 - 	7.50	 - 	 - 	110	100	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR130	 - 	Kabel - DMX	DMX Kabel 3P 1,5m	DMX Kabel 3P 1,5m	 - 	0.50	 - 	DMX Kabel 3P 1,5m	DMX Kabel 3P 1,5m	NULL	 - 	5.50	 - 	 - 	10	0	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR236	 - 	Kabel - DMX	DMX Kabel Set	N.B.	 - 	50	 - 	DMX Kabel Set	n.B	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR514	 - 	Kabel - DMX	DMX Kabel 3P 5m	DMX Kabel 3P 5m	 - 	0.50	 - 	DMX Kabel 3P 5m	DMX Kabel 3P 5m	NULL	 - 	11	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR516	 - 	Kabel - DMX	DMX Kabel 5P 3m	DMX Kabel 5P 3m	 - 	0.5	 - 	DMX Kabel 5P 3m	DMX Kabel 5P 3m	NULL	 - 	7.50	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR517	 - 	Kabel - DMX	DMX Kabel 5P 10m	DMX Kabel 5P 10m	 - 	0.5	 - 	DMX Kabel 5P 10m	DMX Kabel 5P 10m	NULL	 - 	7.50	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR518	 - 	Kabel - DMX	DMX Kabel 5P 1,5m	DMX Kabel 5P 1,5m	 - 	0.50	 - 	DMX Kabel 5P 1,5m	DMX Kabel 5P 1,5m	NULL	 - 	11	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR164	 - 	Kabel - Hybrid	Kabel Power Signal 6 m	Kabel Power Signal 6 m	.50	1.00	1.50	Kabel Power Signal 6 m	Kabel Power Signal 6 m	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR165	 - 	Kabel - Hybrid	Kabel Power Signal 10 m	Kabel Power Signal 10 m	0.50	1.00	1.50	Kabel Power Signal 10 m	Kabel Power Signal 10 m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR187	 - 	Kabel - Lautsprecher	Verkabelung Set	 - 	 - 	50	50	Verkabelung Set	 - 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR258	 - 	Kabel - Lautsprecher	Speakon Lautsprecherkabel 10m 4-Pol	Speakon Lautsprecherkabel 10m 4-Pol	 - 	2,50	 - 	Speakon Lautsprecherkabel 10m 4-Pol	Speakon Lautsprecherkabel 10m 4-Pol	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	1000	4.000	0
AR259	 - 	Kabel - Lautsprecher	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	 - 	2	 - 	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	5000	0.000	0
